Transaction;Year;Current prices, millions of euro;At previous year's prices, millions of euro;Ratio to GDP, %;Ratio to national income, %;Changes in volume, %;Volume index, 2015 = 100;Changes in value, %;Changes in price, %;Price index, 2015 = 100;Volume series, reference year 2010;Volume series, reference year 2015;Volume series, reference yea 2020;Ratio, %;Date
B1GMH Gross domestic product at market prices;1975;18145;NA;100,0;118,8;NA;NA;NA;NA;20,7;78193;87520;92857;NA;1975-01-01
B1GMH Gross domestic product at market prices;1976;20604;18236;100,0;119,7;0,5;41,6;13,6;13,0;23,4;78585;87959;93323;NA;1976-01-01
B1GMH Gross domestic product at market prices;1977;22614;20671;100,0;121,7;0,3;41,7;9,8;9,4;25,6;78841;88245;93626;NA;1977-01-01
B1GMH Gross domestic product at market prices;1978;25051;23325;100,0;121,7;3,1;43,1;10,8;7,4;27,5;81320;91020;96570;NA;1978-01-01
B1GMH Gross domestic product at market prices;1979;29056;26850;100,0;120,6;7,2;46,2;16,0;8,2;29,8;87159;97556;103505;NA;1979-01-01
B1GMH Gross domestic product at market prices;1980;33657;30692;100,0;121,1;5,6;48,8;15,8;9,7;32,7;92067;103049;109333;NA;1980-01-01
B1GMH Gross domestic product at market prices;1981;38067;34100;100,0;122,2;1,3;49,4;13,1;11,6;36,5;93279;104406;110772;NA;1981-01-01
B1GMH Gross domestic product at market prices;1982;42803;39250;100,0;122,6;3,1;50,9;12,4;9,1;39,8;96178;107650;114215;NA;1982-01-01
B1GMH Gross domestic product at market prices;1983;47752;44137;100,0;122,9;3,1;52,5;11,6;8,2;43,0;99175;111005;117774;NA;1983-01-01
B1GMH Gross domestic product at market prices;1984;53460;49298;100,0;122,7;3,2;54,2;12,0;8,4;46,7;102386;114599;121587;NA;1984-01-01
B1GMH Gross domestic product at market prices;1985;58245;55357;100,0;122,5;3,5;56,1;9,0;5,2;49,1;106019;118666;125902;NA;1985-01-01
B1GMH Gross domestic product at market prices;1986;62693;59850;100,0;122,5;2,8;57,7;7,6;4,8;51,4;108940;121935;129371;NA;1986-01-01
B1GMH Gross domestic product at market prices;1987;67716;64934;100,0;123,1;3,6;59,7;8,0;4,3;53,6;112835;126294;133995;NA;1987-01-01
B1GMH Gross domestic product at market prices;1988;76723;71249;100,0;122,5;5,2;62,9;13,3;7,7;57,7;118722;132883;140986;NA;1988-01-01
B1GMH Gross domestic product at market prices;1989;85891;80626;100,0;124,2;5,1;66,1;11,9;6,5;61,5;124761;139643;148159;NA;1989-01-01
