Month;BOP item;Income, millions of euro;Expenditure, millions of euro;Income;Expenditure;Net;Date
2006M01;CA Current account;6766;5904;6766;5904;862;2006-01-01
2006M02;CA Current account;6691;5997;6691;5997;694;2006-02-01
2006M03;CA Current account;7792;7678;7792;7678;114;2006-03-01
2006M04;CA Current account;7978;8897;7978;8897;-919;2006-04-01
2006M05;CA Current account;7627;7019;7627;7019;608;2006-05-01
2006M06;CA Current account;7792;6935;7792;6935;857;2006-06-01
2006M07;CA Current account;7226;6647;7226;6647;579;2006-07-01
2006M08;CA Current account;7867;6835;7867;6835;1032;2006-08-01
2006M09;CA Current account;8234;7057;8234;7057;1177;2006-09-01
2006M10;CA Current account;7828;7228;7828;7228;600;2006-10-01
2006M11;CA Current account;8095;7224;8095;7224;871;2006-11-01
2006M12;CA Current account;7641;7320;7641;7320;321;2006-12-01
2007M01;CA Current account;7526;7111;7526;7111;415;2007-01-01
2007M02;CA Current account;7400;7023;7400;7023;377;2007-02-01
2007M03;CA Current account;8593;8207;8593;8207;386;2007-03-01
2007M04;CA Current account;8956;9240;8956;9240;-284;2007-04-01
2007M05;CA Current account;8774;9149;8774;9149;-375;2007-05-01
2007M06;CA Current account;8416;7699;8416;7699;717;2007-06-01
2007M07;CA Current account;8492;7493;8492;7493;999;2007-07-01
2007M08;CA Current account;8634;7352;8634;7352;1282;2007-08-01
2007M09;CA Current account;8845;7290;8845;7290;1555;2007-09-01
2007M10;CA Current account;8975;8090;8975;8090;885;2007-10-01
2007M11;CA Current account;9127;7773;9127;7773;1354;2007-11-01
2007M12;CA Current account;8235;8010;8235;8010;225;2007-12-01
2008M01;CA Current account;8251;7860;8251;7860;391;2008-01-01
2008M02;CA Current account;8564;7680;8564;7680;884;2008-02-01
2008M03;CA Current account;8862;8494;8862;8494;368;2008-03-01
2008M04;CA Current account;9797;10577;9797;10577;-780;2008-04-01
2008M05;CA Current account;9172;10040;9172;10040;-868;2008-05-01
2008M06;CA Current account;9193;8146;9193;8146;1047;2008-06-01
2008M07;CA Current account;8699;8172;8699;8172;527;2008-07-01
2008M08;CA Current account;8430;7663;8430;7663;767;2008-08-01
2008M09;CA Current account;9303;8516;9303;8516;787;2008-09-01
2008M10;CA Current account;9412;8522;9412;8522;890;2008-10-01
2008M11;CA Current account;8246;7621;8246;7621;625;2008-11-01
2008M12;CA Current account;8132;7830;8132;7830;302;2008-12-01
2009M01;CA Current account;6176;6036;6176;6036;140;2009-01-01
2009M02;CA Current account;6287;5980;6287;5980;307;2009-02-01
