Month;Hyodyke_new;Point figure;Annual change (%);Monthly change (%);Annual impact (%-units);Monthly impact (%-units);Date
2010M01;0 CONSUMER PRICE INDEX;98,78;NA;NA;NA;NA;2010-01-01
2010M01;01 FOOD AND NON-ALCOHOLIC BEVERAGES;99,48;NA;NA;NA;NA;2010-01-01
2010M01;02 ALCOHOLIC BEVERAGES, TOBACCO;99,86;NA;NA;NA;NA;2010-01-01
2010M01;03 CLOTHING AND FOOTWEAR;92,70;NA;NA;NA;NA;2010-01-01
2010M01;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;98,04;NA;NA;NA;NA;2010-01-01
2010M01;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;98,67;NA;NA;NA;NA;2010-01-01
2010M01;06 HEALTH;99,15;NA;NA;NA;NA;2010-01-01
2010M01;07 TRANSPORT;98,26;NA;NA;NA;NA;2010-01-01
2010M01;08 COMMUNICATION;101,64;NA;NA;NA;NA;2010-01-01
2010M01;09 RECREATION AND CULTURE;99,88;NA;NA;NA;NA;2010-01-01
2010M01;10 EDUCATION;98,67;NA;NA;NA;NA;2010-01-01
2010M01;11 RESTAURANTS AND HOTELS;100,62;NA;NA;NA;NA;2010-01-01
2010M01;12 MISCELLANEOUS GOODS AND SERVICES;99,65;NA;NA;NA;NA;2010-01-01
2010M02;0 CONSUMER PRICE INDEX;99,10;NA;0,32;NA;0,323;2010-02-01
2010M02;01 FOOD AND NON-ALCOHOLIC BEVERAGES;99,50;NA;0,02;NA;0,002;2010-02-01
2010M02;02 ALCOHOLIC BEVERAGES, TOBACCO;99,96;NA;0,10;NA;0,005;2010-02-01
2010M02;03 CLOTHING AND FOOTWEAR;95,85;NA;3,39;NA;0,169;2010-02-01
2010M02;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;98,25;NA;0,21;NA;0,048;2010-02-01
2010M02;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;99,04;NA;0,37;NA;0,021;2010-02-01
2010M02;06 HEALTH;99,74;NA;0,59;NA;0,029;2010-02-01
2010M02;07 TRANSPORT;97,93;NA;-0,33;NA;-0,043;2010-02-01
2010M02;08 COMMUNICATION;102,23;NA;0,58;NA;0,014;2010-02-01
2010M02;09 RECREATION AND CULTURE;100,17;NA;0,29;NA;0,036;2010-02-01
2010M02;10 EDUCATION;98,67;NA;0,00;NA;0,000;2010-02-01
2010M02;11 RESTAURANTS AND HOTELS;101,19;NA;0,56;NA;0,040;2010-02-01
2010M02;12 MISCELLANEOUS GOODS AND SERVICES;99,69;NA;0,04;NA;0,002;2010-02-01
2010M03;0 CONSUMER PRICE INDEX;99,67;NA;0,57;NA;0,575;2010-03-01
2010M03;01 FOOD AND NON-ALCOHOLIC BEVERAGES;100,04;NA;0,54;NA;0,072;2010-03-01
2010M03;02 ALCOHOLIC BEVERAGES, TOBACCO;99,94;NA;-0,02;NA;-0,001;2010-03-01
2010M03;03 CLOTHING AND FOOTWEAR;101,09;NA;5,46;NA;0,280;2010-03-01
2010M03;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;98,48;NA;0,23;NA;0,052;2010-03-01
2010M03;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;99,64;NA;0,60;NA;0,034;2010-03-01
2010M03;06 HEALTH;100,08;NA;0,34;NA;0,017;2010-03-01
2010M03;07 TRANSPORT;99,07;NA;1,16;NA;0,150;2010-03-01
2010M03;08 COMMUNICATION;98,96;NA;-3,19;NA;-0,079;2010-03-01
2010M03;09 RECREATION AND CULTURE;100,60;NA;0,42;NA;0,053;2010-03-01
2010M03;10 EDUCATION;98,67;NA;0,00;NA;0,000;2010-03-01
2010M03;11 RESTAURANTS AND HOTELS;101,13;NA;-0,05;NA;-0,004;2010-03-01
2010M03;12 MISCELLANEOUS GOODS AND SERVICES;99,54;NA;-0,15;NA;-0,010;2010-03-01
2010M04;0 CONSUMER PRICE INDEX;100,00;NA;0,33;NA;0,331;2010-04-01
2010M04;01 FOOD AND NON-ALCOHOLIC BEVERAGES;100,55;NA;0,50;NA;0,068;2010-04-01
2010M04;02 ALCOHOLIC BEVERAGES, TOBACCO;99,81;NA;-0,13;NA;-0,007;2010-04-01
2010M04;03 CLOTHING AND FOOTWEAR;102,63;NA;1,52;NA;0,081;2010-04-01
2010M04;04 HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS;98,68;NA;0,20;NA;0,045;2010-04-01
2010M04;05 FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE;99,70;NA;0,06;NA;0,003;2010-04-01
2010M04;06 HEALTH;100,26;NA;0,17;NA;0,008;2010-04-01
2010M04;07 TRANSPORT;100,07;NA;1,00;NA;0,130;2010-04-01
2010M04;08 COMMUNICATION;98,15;NA;-0,81;NA;-0,019;2010-04-01
2010M04;09 RECREATION AND CULTURE;100,54;NA;-0,05;NA;-0,007;2010-04-01
2010M04;10 EDUCATION;98,70;NA;0,03;NA;0,000;2010-04-01
2010M04;11 RESTAURANTS AND HOTELS;101,26;NA;0,12;NA;0,009;2010-04-01
2010M04;12 MISCELLANEOUS GOODS AND SERVICES;99,82;NA;0,28;NA;0,018;2010-04-01
